Date,AAPL,BA,T,MGM,AMZN,IBM,TSLA,GOOG,sp500
2012-05-10,83300000,2952700,23889100,7979500,4648400,3830500,5556300,3083200,3727990000
2012-05-11,99886500,3189000,41985000,6785300,4193600,2391500,1221300,4214400,3869070000
2012-05-14,88156600,3585700,30006400,9629600,3096600,3029200,1380900,3662400,3688120000
2012-05-15,119084000,3252300,28024400,11001300,5713700,2987400,1585700,4219900,4114040000
2012-05-16,140224000,3648100,22541800,11616000,5261800,5001000,1257100,9706300,4280420000
2012-05-17,179305000,6172200,23399200,13714000,4505500,5626300,1149000,6732700,4664280000
2012-05-18,183073100,5597400,38876800,16394500,5231700,5737100,1616500,11991700,4512470000
2012-05-21,157776500,4709700,24667800,15764400,3579800,3831700,1475200,6173800,3786750000
2012-05-22,173717600,4269400,28027300,14013500,3733100,3567100,2366200,6126600,4123680000
2012-05-23,146224400,4222700,25725200,8560200,4243800,4100000,1220400,6379900,4108330000
2012-05-24,124057500,2942600,24082600,9973000,3141100,3569300,1075600,3796600,3937670000
2012-05-25,82126800,5163300,22284100,5139800,2171400,2901900,757000,7190500,2872660000
2012-05-29,95127200,3973600,22911100,7834300,2693900,3618500,1650000,5230900,3441640000
2012-05-30,132357400,4677600,30160800,8415000,4078200,3602500,1307200,3827600,3534290000
2012-05-31,122918600,4191400,32259000,14272800,4944000,9287500,1118700,5958800,4557620000
2012-06-01,130246900,5592000,29091800,15663200,3951500,5206400,885800,6138700,4669350000
2012-06-04,139248900,5478200,26700400,12855500,4299600,4624500,1030900,4883500,4011960000
2012-06-05,97053600,3747300,24424900,11063900,3543900,3556500,630900,4697200,3403230000
2012-06-06,100363900,4050300,27729800,17540300,2710100,3641300,909900,4207200,4268360000
2012-06-07,94941700,4004600,42417600,14114000,3503900,3701100,492100,3530100,4258140000
2012-06-08,86879100,3933400,27959400,7875100,2877000,2479200,881100,2831300,3497190000
2012-06-11,147816200,4369400,26192000,7256500,3749100,3273300,636000,5342100,3537530000
2012-06-12,108845100,6458100,27812900,7467100,2833300,3023700,569000,6472500,3442920000
2012-06-13,73395000,4720300,26546000,6882500,2325200,3247700,844100,3923000,3506510000
2012-06-14,86393300,5822900,31612200,8765000,3060900,3585000,872200,4707200,3687720000
2012-06-15,83813800,5308300,41585800,13216200,3785200,6389000,646800,6024800,4401570000
2012-06-18,110103000,3435200,22627200,6639000,3369600,3378900,1256800,5012400,3259430000
2012-06-19,90351100,4167200,26838900,10210400,2716600,3297600,911100,4167900,3815350000
2012-06-20,89735800,3468700,23353100,9223100,2444400,3378200,3422400,4710800,3695700000
2012-06-21,81587800,3659300,28404000,7416400,2843000,4316600,1891900,4037600,4094470000
2012-06-22,71117900,3267300,87136400,9105200,2187500,8823000,3046600,4472400,5271490000
2012-06-25,76095600,4111400,87787000,9426200,2382300,3211600,1498500,3174900,3501820000
2012-06-26,69134100,2757600,20488400,7711600,3754100,3435900,2613900,2710500,3412940000
2012-06-27,50749300,2514600,16185100,5631700,2799200,2762700,1047200,3397200,3286910000
2012-06-28,70709100,3144600,21426600,7968300,2994800,3967300,914100,3856100,3969370000
2012-06-29,105375200,4419400,30458800,10461600,3614400,5259600,1125800,5057800,4590480000
2012-07-02,100023000,4893400,24801600,5230900,2330700,2827000,1315600,3323300,3301650000
2012-07-03,60428200,2166200,15479800,3240800,1331700,1450400,947000,2387800,2116390000
2012-07-05,121095800,2539000,22817200,7982000,2682300,2690200,1253800,4709200,3041520000
2012-07-06,104732600,3579100,22049600,6099100,3203200,4952900,784500,4339700,2745140000
2012-07-09,94851400,4357700,17414000,7801000,1922000,3988100,910500,3443000,2904860000
2012-07-10,127989400,4756700,21606900,6930200,2982100,4690300,758400,3860500,3470600000
2012-07-11,117330500,6072200,20684700,10484400,2734700,5456100,638600,7024700,3426290000
2012-07-12,107010400,5799800,24143600,20277200,2616200,4931300,1125700,4636800,3654440000
2012-07-13,77856800,3616000,19190100,9305300,2221900,3933000,1304800,3966700,3212930000
2012-07-16,75315100,3538400,17691300,7720200,2004200,3144400,1744000,2936100,2862720000
2012-07-17,73406200,2775700,21328400,12290500,1987000,5158600,2569300,3372700,3566680000
2012-07-18,63175000,3756200,25449900,13450500,2093000,8019500,2881900,3107900,3642630000
2012-07-19,109215400,4543200,30349500,8059800,5449400,10395400,1435900,9384300,4043360000
2012-07-20,99367800,3148100,26677300,15284600,4170000,4789700,1568500,12975800,3925020000
2012-07-23,121993900,3432200,27252700,11031200,5515100,3904500,1386800,7150000,3717180000
2012-07-24,141283100,3866500,38629700,15057300,5008700,3597100,1500300,4033800,3891290000
2012-07-25,219328200,6130400,31936700,10403500,3646700,3833800,2842200,3659600,3719170000
2012-07-26,101658200,4949200,34751200,12400600,6937400,3282900,2262300,3382900,4429300000
2012-07-27,100984100,4066300,45572900,10915300,11313900,4177300,1673000,7125900,4399010000
2012-07-30,94785600,4999700,24892300,6644300,3736400,2787000,2065200,4389700,3212060000
2012-07-31,115581900,3978700,36692300,7372500,3453600,3507000,1575100,3745100,3821570000
2012-08-01,96125400,4696000,28003600,6751800,2543800,2559300,1592300,3702900,4440920000
2012-08-02,83039600,4615000,24657600,16412200,3048100,2812600,1305100,3970100,4193740000
2012-08-03,86230200,4588500,24292000,8816100,2825300,3278100,1209500,3808300,3751170000
2012-08-06,75525800,3758800,16362500,13122800,1843700,2337800,1528200,3578000,3122050000
2012-08-07,72611700,4717200,21769500,31565700,2058300,3209400,2387200,3978300,3682490000
2012-08-08,61176500,3410700,22446800,12093300,1534300,2068300,1308900,2654200,3221790000
2012-08-09,55410600,2387500,21159700,10275200,1548100,2160100,672600,2148500,3119610000
2012-08-10,48734700,2843600,16589500,7377800,1852500,2600500,707400,2879800,2767980000
2012-08-13,69708100,2379900,13117500,11284500,1997300,2418300,870100,6560200,2499990000
2012-08-14,85042300,2616700,20275700,10121000,2751000,2562300,793400,7350800,2930900000
2012-08-15,64335600,3278200,21046300,9902700,3264700,2111800,525400,4839400,2655750000
2012-08-16,63633500,2802700,23110400,8303300,4312100,2729500,669000,3448200,3114100000
2012-08-17,110690300,3235800,17824500,9703800,3085800,2551800,508200,4371600,2922990000
2012-08-20,153346200,2481900,25286800,9419100,1889900,2336000,1179100,3529300,2766320000
2012-08-21,203179900,3136400,24900000,8147500,2571500,3111300,761600,4461000,3282950000
2012-08-22,141330700,4242600,21678700,6835600,2473700,3296100,775500,3832600,3062690000
2012-08-23,105032200,9431200,20946000,6167800,2453900,2757400,1471000,3581700,3008240000
2012-08-24,109335100,5351300,23211700,5612400,3698800,2639500,1429400,2863800,2598790000
2012-08-27,106752100,3538100,22007300,6877300,2929700,2498800,1350400,5246900,2472500000
2012-08-28,66854200,3029200,20301100,8070500,2742300,2539200,1402700,4132600,2629090000
2012-08-29,50701700,2687200,15925700,5018200,1772600,2141400,838900,6002900,2571220000
2012-08-30,75674900,3393100,15792600,7092700,3647500,2740900,656400,3265900,2530280000
2012-08-31,84580300,3171800,20144800,6587900,3347500,3193300,539800,4270000,2938250000
2012-09-04,91973000,3916400,23824200,6524500,3950800,4514400,752500,3793200,3200310000
2012-09-05,84093800,4946900,22805800,6246200,2652600,3312500,639300,3429100,3389110000
2012-09-06,97799100,4358800,24345400,12915300,5361400,3931700,841700,6109700,3952870000
2012-09-07,82416600,3080400,20811600,11934100,5029500,3413700,953200,6490100,3717620000
2012-09-10,121999500,8354500,18279800,19913700,2567200,4208000,1483300,5139100,3223670000
2012-09-11,125995800,3951300,18771700,11568300,2524800,3910600,1014900,3761500,3509630000
2012-09-12,178058300,4400800,23510400,10240500,2273200,3284000,1145200,5304300,3641200000
2012-09-13,149590000,5314100,26496300,12635000,3525600,3879600,1484700,5337900,4606550000
2012-09-14,150118500,6530200,41113300,13934700,3666200,4057100,1536600,5256500,5041990000
2012-09-17,99507800,6917200,28919500,6935100,2306300,3275100,3212800,3027800,3482430000
2012-09-18,93375800,5490300,23035700,7595100,2215000,2476100,1788500,4149000,3377390000
2012-09-19,81718700,5193400,21093900,5412200,2636800,2605600,1048500,6219700,3451360000
2012-09-20,84142100,4875100,23253600,9897100,2913600,3739100,912400,5836500,3382520000
2012-09-21,142897300,13161000,36093800,9575400,6059300,12771500,1870000,12765800,4833870000
2012-09-24,159941600,5037900,20126200,8740500,2707900,3511100,1301900,7154200,3008920000
2012-09-25,129697400,4085900,17693700,7179500,4405800,3345200,5680400,12162400,3739900000
2012-09-26,144125800,5256400,24688900,6898600,2920500,3423300,1527200,11388200,3565380000
2012-09-27,148522500,4147700,28532800,11336300,3397400,2771900,1758600,7891600,3150330000
2012-09-28,133777700,4057500,59909900,8280900,2456600,4910900,4343400,5587700,3509230000
2012-10-01,135898700,4012100,53520100,7347700,2581200,5456900,884400,6359700,3505080000
2012-10-02,156998100,3077900,20509500,10043700,2195800,3321000,729000,5601200,3321790000
2012-10-03,106070300,3106400,21572900,7782000,2745600,3192300,1052800,4433100,3531640000
2012-10-04,92681400,2818300,20322700,7140100,2700400,2957500,1541300,4926700,3615860000
2012-10-05,148501500,3741600,20824800,6047500,2806500,2858400,938600,5492200,3172940000
2012-10-08,159498500,2838800,15015300,6134200,1762300,1982600,889700,3931800,2328720000
2012-10-09,209649300,4116600,23385100,9742700,3494800,3580400,1193000,6028900,3216320000
2012-10-10,127589000,3642600,19894500,12558700,3948300,4024500,503600,4095000,3225060000
2012-10-11,136520300,3183200,29416800,5950600,3447300,2910000,450600,4785600,3672540000
2012-10-12,115003700,4345600,37074200,6779400,2203200,2712000,987600,4826400,3134750000
2012-10-15,108125500,3858000,46233400,5846300,2959800,3060900,1468700,6060700,3483810000
2012-10-16,137442900,4799300,28296900,10769000,2204100,5632100,479300,4131800,3568770000
2012-10-17,97259400,6061500,22662400,8374400,3302700,12673900,668000,4602900,3655320000
2012-10-18,119156100,3414200,26911000,22555600,5305300,9295900,741000,24977900,3880030000
2012-10-19,186021500,5407000,27580100,13309800,4395300,6620300,1027400,23050400,3875170000
2012-10-22,136682700,4419800,20800800,8233300,4500000,4402500,470200,8141500,3216220000
2012-10-23,176786400,4544900,23734100,8408700,4430800,4427400,749000,5855000,3587670000
2012-10-24,139631800,8346600,36018300,6561000,3678700,3738000,1016400,5011600,3385970000
2012-10-25,164081400,8191500,22342700,7056700,6741300,3249600,577700,4820100,3512640000
2012-10-26,254608200,4389000,18839200,7131500,11367500,4006500,477400,3916200,3284910000
2012-10-31,127500800,3778700,20591400,15327500,4797600,6052300,775200,3085400,3577110000
2012-11-01,90324500,3992800,23895800,9589000,3905100,3758800,1024100,4115500,3929890000
2012-11-02,149843400,4400400,28329400,9668000,3374700,4260100,1030300,4666100,3732480000
2012-11-05,132283900,3833000,17674700,10917200,1846100,2736200,2048900,3283900,2921040000
2012-11-06,93729300,4923700,19179000,9324700,2661300,3281000,2324000,3177300,3306970000
2012-11-07,198412200,6675400,45957200,10559400,3624200,4746200,1714500,4481200,4356490000
2012-11-08,264036500,7363500,36669200,11553300,2982400,3542200,1274000,5213300,3779520000
2012-11-09,232478400,10269800,31871300,9232200,3092500,3671600,863000,6251500,3647350000
2012-11-12,128950500,6497600,19995900,11973900,2128800,3067400,555900,2822300,2567540000
2012-11-13,133237300,7293400,23021200,9535200,2629800,3406700,998300,3200200,3455550000
2012-11-14,119292600,6063100,25150900,11277500,3034100,4404400,871300,3349200,4109510000
2012-11-15,197477700,3928100,26051100,9826100,3404700,3411700,984000,3711500,3928870000
2012-11-16,316723400,4856300,32351100,24652900,4352800,4660800,908700,6902000,4045910000
2012-11-19,205829400,3475700,21731800,12859400,3591200,3588900,1392400,4754100,3374800000
2012-11-20,160688500,3161000,20489800,7400100,2771700,3170200,922500,4192900,3207160000
2012-11-21,93250500,3119800,27868900,9756600,2959300,5189600,963200,4240200,2667090000
2012-11-23,68206600,1579200,21697600,4916100,1776800,3877600,430300,1851800,1504960000
2012-11-26,157644900,3709100,34852800,7700500,4178300,5210300,495800,4425700,2948960000
2012-11-27,133332500,5353500,26506100,8958500,3048500,3290900,910800,5036100,3323120000
2012-11-28,130216100,4245900,30828500,7501800,2743400,3603600,1525200,6106700,3359250000
2012-11-29,128674700,2998900,29542600,9999200,5310500,4077900,1103400,5573700,3356850000
2012-11-30,97829900,3863400,36130600,8989500,3797400,4936400,1420300,6350800,3966000000
2012-12-03,91070000,3721600,19611800,8131100,2990600,3349600,2085700,4401300,3074280000
2012-12-04,139267100,3827700,21290900,12381900,3114700,3990700,1263300,3998200,3247710000
2012-12-05,261159500,3818800,29170900,8188000,2852200,4202100,661500,3738700,4253920000
2012-12-06,294303100,3895400,23415000,38574400,3557900,3216600,660400,2935500,3229700000
2012-12-07,196760200,3718000,22337700,14410100,2170300,4091300,664400,3852900,3125160000
2012-12-10,157621100,5323800,20842600,6923100,3503800,3438500,929800,2743600,2999430000
2012-12-11,148086400,5960300,23725800,12314300,4185200,4144000,1572600,5395200,3650230000
2012-12-12,121786000,5191300,24038700,13485400,2628100,4241900,2063800,4870100,3709050000
2012-12-13,156314900,4977600,18939300,8820400,2460200,3623200,2151300,6915500,3349960000
2012-12-14,252394800,4209300,26190800,7544500,2526900,3826900,1023000,4276100,3210170000
2012-12-17,189401800,5537800,24809000,7659300,2277000,3792400,824900,6093400,3455610000
2012-12-18,156421300,5767500,34858000,11368300,4961000,4125900,1553900,6032300,4302240000
2012-12-19,112342300,6075200,25205500,9036900,2300000,4270500,1298800,3851500,3869800000
2012-12-20,120422400,4599300,25415900,5379300,2584600,4184500,921200,3326400,3686580000
2012-12-21,149067100,6831500,55350500,11420500,4704600,8225300,1492400,7078300,5229160000
2012-12-24,43938300,1931900,9673500,3513200,984400,1631200,375800,1688000,1248960000
2012-12-26,75609100,2710300,13391700,4465100,4152700,2776500,601400,2373500,2285030000
2012-12-27,113780100,4041400,24248800,5965500,3639300,3967600,561100,3307000,2830180000
2012-12-28,88569600,2970400,20401800,6951900,1858700,3536600,414100,2814500,2426680000
2012-12-31,164873100,4939000,26911500,8554000,3419000,4684900,594900,4009600,3204330000
2013-01-02,140129500,5036400,38323500,13722500,3271000,4234100,1194800,5101500,4202600000
2013-01-03,88241300,3987000,28932700,11209000,2750900,3644700,742000,4653700,3829730000
2013-01-04,148583400,3431700,21136600,9495600,1874200,3380200,674000,5547600,3424290000
2013-01-07,121039100,7172600,27500500,9180000,4910000,2862300,442000,3323800,3304970000
2013-01-08,114676800,20268100,29210300,20623500,3010700,3026900,1284000,3364700,3601600000
2013-01-09,101901100,10915800,19618400,18146600,2265600,3212000,698000,4064500,3674390000
2013-01-10,150286500,5026600,23664100,25263600,2863400,3608100,922500,3685000,4081840000
2013-01-11,87626700,9808500,27074400,12454600,2413300,3880400,1563200,2579900,3340650000
2013-01-14,183551900,6221100,21973300,9455000,4275000,4172200,925100,5749200,3003010000
2013-01-15,219193100,3900600,24338600,14773100,2326900,4172100,1624200,7884700,3135350000
2013-01-16,172701200,18212000,33765500,11164100,2065600,2962900,1378200,4061900,3384080000
2013-01-17,113419600,21849200,38971400,10356400,1884600,3881600,1436700,4439500,3706710000
2013-01-18,118230700,10829000,38661000,6358400,2942000,4559600,3555100,6477700,3795740000
2013-01-22,115386600,9161900,29734600,9666900,2137700,7172300,1920200,7613100,3570950000
2013-01-23,215377400,7784900,25459300,7710400,2508900,12530500,1564300,11862400,3552010000
2013-01-24,365213100,7292200,26786300,8957500,3417000,4447200,1970400,6790600,3699430000
2013-01-25,302006600,6163200,27095500,10625200,4968100,3358900,1287800,4468400,3476290000
2013-01-28,196379400,7759000,23660300,14560700,4321400,2823700,1986000,3266300,3388540000
2013-01-29,142789500,9296800,30975400,17034100,10172600,3617100,1426600,3507200,3949640000
2013-01-30,104288800,10048600,24179700,10474500,13075400,2998400,968100,3478900,3726810000
2013-01-31,79833600,7639000,26239500,10085200,6772100,3091400,901400,3280500,3999880000
2013-02-01,134871100,6749300,29182600,8687800,6115000,3370700,1100600,7520100,3836320000
2013-02-04,119279300,5799800,28233900,7368900,3723600,3188800,1128000,6103700,3390000000
2013-02-05,143336900,6831200,20928300,7602600,4012900,3636900,1310200,3755300,3618360000
2013-02-06,148426600,4716600,34952400,10372000,2770400,3624200,1893200,4171700,3611570000
2013-02-07,176145200,7773000,19054700,11812400,3975700,3076700,1196600,5701600,3614580000
2013-02-08,158289600,5100400,18275500,20785900,3879200,2893300,1139800,6062700,2986150000
2013-02-11,129372600,3677100,13687800,16174800,3403700,2944700,3266300,4351800,2684100000
2013-02-12,152263300,3597400,16959000,9386700,2943700,2461800,2261300,3731900,3414370000
2013-02-13,118801900,4313500,17402500,7762200,5293000,2169800,966800,2405200,3385880000
2013-02-14,88818800,3830400,26204900,5535100,3463000,3294200,990700,3483500,3759740000
2013-02-15,97936300,3650700,24859300,13266000,3979900,3627800,2017600,5480000,3838510000
2013-02-19,108945900,3882500,16879600,20402500,2854200,2998300,2701400,5885500,3748910000
2013-02-20,119075600,7551300,35656800,15963700,3528900,3715400,3122000,5549000,4240570000
2013-02-21,111795600,7438600,25155400,16902700,3637400,3922900,9037800,7039000,4274600000
2013-02-22,82663700,5391200,20813400,9888300,3124800,3107900,2547300,4123100,3419320000
2013-02-25,93144800,4936300,32523700,12153400,3032400,3844800,2889400,4625000,4011050000
2013-02-26,125374900,3436700,26263600,10201600,3348600,3391600,2762900,4421500,3975280000
2013-02-27,146837600,7160000,23526300,9965700,2908100,4185100,1959200,4067300,3551850000
2013-02-28,80628800,5593400,31849800,7694900,2667200,4689200,1964900,4548500,3912320000
2013-03-01,138112100,6024200,23501500,7232300,2957000,3308300,1546600,4367000,3695610000
2013-03-04,145688900,4748600,18656000,12993300,3453000,3693400,1757700,5571900,3414430000
2013-03-05,159608400,5693200,22608400,8864000,3686200,3807800,2087000,8118400,3610690000
2013-03-06,115062500,3826100,20448000,7799200,2050700,3594800,1150000,5767400,3676890000
2013-03-07,117118400,10029900,19227600,7740600,1939000,3884400,1158300,4120700,3634710000
2013-03-08,97870500,5231700,21495000,7802700,1879800,3700500,912100,5845600,3652260000
2013-03-11,118559000,5087300,20019000,7624400,1904900,3049700,1579500,3201200,3091080000
2013-03-12,116477900,6600800,19613600,3681600,3246200,3591600,1275100,4031600,3274910000
2013-03-13,101387300,7750900,15071000,4090900,1884200,3355900,822000,3294800,3073830000
2013-03-14,75968900,5027800,19513800,47070900,5226700,5505500,2021000,3314700,3459260000
2013-03-15,160990200,8205400,51077500,17242400,4865900,7930300,3279600,6222500,5175850000
2013-03-18,151549300,4803900,20693400,7555400,2720200,3006000,1316100,3690300,3164560000
2013-03-19,131693800,5381200,19851800,10944400,3738500,3198600,1098500,4212000,3796210000
2013-03-20,77165200,3783500,29883600,8851800,2738900,3019000,1423000,2938500,3349090000
2013-03-21,95813900,3672400,20725800,6649900,2806400,5830400,1146300,2966200,3243270000
2013-03-22,98776300,2841600,23912000,8542400,3124600,3031500,440200,2987400,2948380000
2013-03-25,125283900,3528400,23707600,8113000,2513900,3242500,2378800,3436800,3178170000
2013-03-26,73573500,5083400,18429200,10282100,2421000,2300300,1808200,2392600,2869260000
2013-03-27,82809300,3185700,17375800,10274100,2874900,3223400,1296300,4342500,2914210000
2013-03-28,110709900,4884300,37388800,5755200,2473700,3749900,1158700,4592600,3304440000
2013-04-01,97433000,2867200,24205600,7695700,2524800,2144500,14098500,3628100,2753110000
2013-04-02,132379800,4764900,26227700,13265400,2631100,3116800,6652400,4098200,3312160000
2013-04-03,90804000,3885000,24291000,12129700,2413800,3128800,5643600,3489900,4060610000
2013-04-04,89611900,3352500,72851500,7659400,1964400,3709500,2264800,4913400,3350670000
2013-04-05,95923800,6109500,76489400,13612100,2557400,4148000,1552400,6893400,3515410000
2013-04-08,75207300,5003600,23617200,10508600,2295600,2351200,1679000,5685300,2887120000
2013-04-09,76653500,6058400,22546700,10114600,2156600,2577300,1696100,4330700,3252780000
2013-04-10,93982000,4635200,19065800,10844200,2322500,3524200,2121100,3971900,3453350000
2013-04-11,82091100,5394200,25493600,6009900,3090500,3655600,3447400,4072500,3393950000
2013-04-12,59653300,2588300,19725300,5516400,2866300,3165400,3149400,3285500,3206290000
2013-04-15,79380000,4324000,29249300,11534900,3326000,4218100,1681400,4924500,4660130000
2013-04-16,76442800,5233900,24466600,6946100,2137200,2859500,3180400,3496900,3654700000
2013-04-17,236264000,3781100,22473100,11228100,3135100,3269800,2118500,4089100,4250310000
2013-04-18,166574800,2792800,20200000,9041400,3137600,6502000,3367900,6669800,3890800000
2013-04-19,152318600,6322200,24528000,4483300,2602500,18847000,3011700,11649800,3569870000
2013-04-22,107480100,4248700,21502100,4930900,2119100,9845400,3939400,5788300,2979880000
